epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,173.172,0.48437,0.36661,0.89473,0.94908,0.93859,0.96086,0.88084,0.45475,0.4029,0.83886,0.000215774,0.000215774,0.000215774
43,177.027,0.47812,0.3712,0.88439,0.91733,0.93354,0.95889,0.88031,0.45661,0.42217,0.83991,0.000204769,0.000204769,0.000204769
44,180.47,0.45999,0.34792,0.87454,0.95292,0.92061,0.96202,0.87963,0.4478,0.41074,0.83955,0.000193763,0.000193763,0.000193763
45,183.77,0.44768,0.35088,0.88612,0.94317,0.93561,0.96272,0.88076,0.4496,0.38636,0.84337,0.000182758,0.000182758,0.000182758
46,187.793,0.43359,0.34887,0.88687,0.96122,0.92957,0.96681,0.88201,0.44332,0.38038,0.8431,0.000171752,0.000171752,0.000171752
47,191.373,0.48104,0.36165,0.90748,0.95267,0.92887,0.96959,0.88696,0.43929,0.39958,0.84173,0.000160747,0.000160747,0.000160747
48,194.884,0.44642,0.35163,0.87784,0.94546,0.89827,0.95312,0.86976,0.44649,0.43116,0.84687,0.000149741,0.000149741,0.000149741
49,198.26,0.4033,0.5303,0.79281,0.94937,0.89291,0.9317,0.84769,0.44659,0.44143,0.84526,0.000138736,0.000138736,0.000138736
50,202.431,0.45065,0.32324,0.86664,0.95258,0.89737,0.92962,0.85321,0.44256,0.43581,0.84145,0.000127731,0.000127731,0.000127731
51,207.824,0.34977,0.27908,0.81017,0.96092,0.89877,0.92881,0.85562,0.44113,0.4119,0.83956,0.000116725,0.000116725,0.000116725
52,212.382,0.43666,0.74396,0.83388,0.96595,0.89502,0.92604,0.85628,0.44545,0.40321,0.84192,0.00010572,0.00010572,0.00010572
53,215.984,0.3558,0.27525,0.82016,0.95095,0.91387,0.9253,0.86476,0.43917,0.39832,0.84257,9.4714e-05,9.4714e-05,9.4714e-05
54,219.314,0.37954,0.3416,0.85768,0.94596,0.91091,0.93025,0.84575,0.44388,0.39385,0.84487,8.37085e-05,8.37085e-05,8.37085e-05
55,222.674,0.3568,0.26483,0.82383,0.94653,0.91456,0.93347,0.85231,0.44178,0.37896,0.84386,7.2703e-05,7.2703e-05,7.2703e-05
56,226.89,0.34977,0.25437,0.80736,0.94802,0.91547,0.92934,0.84888,0.44279,0.37703,0.84081,6.16975e-05,6.16975e-05,6.16975e-05
57,230.361,0.34945,0.26763,0.82591,0.9516,0.90745,0.92949,0.84952,0.44515,0.37858,0.8398,5.0692e-05,5.0692e-05,5.0692e-05
58,233.797,0.34965,0.28946,0.80661,0.96189,0.9126,0.91944,0.84515,0.43785,0.38195,0.83682,3.96865e-05,3.96865e-05,3.96865e-05
59,237.196,0.3667,0.26373,0.84373,0.96692,0.91129,0.9205,0.85074,0.43304,0.38424,0.83527,2.8681e-05,2.8681e-05,2.8681e-05
60,241.169,0.32397,0.23951,0.80302,0.96175,0.91195,0.92065,0.85336,0.43064,0.39804,0.83407,1.76755e-05,1.76755e-05,1.76755e-05
